Train ID,Route,Date and Time,Passenger Count,Number of Coaches,Total Capacity,Seat Occupancy (%),Platform Number,Delay Records (mins),Holiday or Weekend Indicator
TRN-019,Mumbai - Delhi,2026-02-02 11:12:42,236,11,660,35.76,2,38,No
TRN-011,Toronto - Montreal,2026-02-02 11:24:16,131,5,300,43.67,12,0,No
TRN-005,Toronto - Montreal,2026-02-02 11:50:42,267,15,900,29.67,3,0,No
TRN-016,Berlin - Munich,2026-02-02 12:03:06,252,5,300,84.0,2,0,No
TRN-008,Toronto - Montreal,2026-02-02 12:20:45,289,7,420,68.81,8,0,No
TRN-011,Chicago - St. Louis,2026-02-02 12:20:48,164,15,900,18.22,6,75,No
TRN-002,Chicago - St. Louis,2026-02-02 12:33:54,129,9,540,23.89,5,21,No
TRN-005,Sydney - Melbourne,2026-02-02 12:47:17,122,9,540,22.59,1,59,No
TRN-009,New York - Washington DC,2026-02-02 13:16:44,168,14,840,20.0,4,0,No
TRN-011,Beijing - Shanghai,2026-02-02 13:26:41,160,10,600,26.67,11,109,No
TRN-010,Los Angeles - San Francisco,2026-02-02 14:13:40,167,11,660,25.3,6,84,No
TRN-007,Toronto - Montreal,2026-02-02 14:14:40,371,12,720,51.53,12,0,Yes
TRN-013,Mumbai - Delhi,2026-02-02 14:22:04,173,9,540,32.04,6,0,No
TRN-002,Beijing - Shanghai,2026-02-02 14:50:11,165,6,360,45.83,3,0,No
TRN-001,Tokyo - Osaka,2026-02-02 15:21:55,276,15,900,30.67,12,0,No
TRN-004,Chicago - St. Louis,2026-02-02 15:44:39,233,5,300,77.67,7,85,No
TRN-017,London - Paris,2026-02-02 17:11:55,472,10,600,78.67,4,21,No
TRN-016,Tokyo - Osaka,2026-02-02 17:51:31,503,8,480,104.79,6,0,No
TRN-013,Tokyo - Osaka,2026-02-02 18:20:35,305,12,720,42.36,4,43,No
TRN-006,Beijing - Shanghai,2026-02-02 18:24:12,355,11,660,53.79,11,0,No
TRN-009,Mumbai - Delhi,2026-02-02 18:38:21,590,9,540,109.26,11,46,Yes
TRN-002,Chicago - St. Louis,2026-02-02 18:46:59,365,14,840,43.45,1,0,Yes
TRN-007,Chicago - St. Louis,2026-02-02 19:41:19,462,8,480,96.25,7,22,No
TRN-014,Beijing - Shanghai,2026-02-02 21:26:45,359,10,600,59.83,1,0,Yes
TRN-011,New York - Washington DC,2026-02-02 22:14:29,140,12,720,19.44,10,16,No
TRN-013,Sydney - Melbourne,2026-02-02 22:43:25,133,6,360,36.94,4,0,No
TRN-016,Beijing - Shanghai,2026-02-02 23:05:21,266,8,480,55.42,5,0,No
TRN-009,Mumbai - Delhi,2026-02-02 23:41:16,181,13,780,23.21,3,0,No
TRN-006,Los Angeles - San Francisco,2026-02-03 00:00:27,124,15,900,13.78,5,64,No
TRN-016,New York - Washington DC,2026-02-03 02:11:42,195,6,360,54.17,2,47,No
TRN-014,Beijing - Shanghai,2026-02-03 02:25:03,222,13,780,28.46,9,0,No
TRN-005,Sydney - Melbourne,2026-02-03 02:27:56,262,6,360,72.78,9,54,No
TRN-014,New York - Washington DC,2026-02-03 02:48:37,114,5,300,38.0,3,0,No
TRN-001,Los Angeles - San Francisco,2026-02-03 03:03:40,125,7,420,29.76,7,0,No
TRN-004,Beijing - Shanghai,2026-02-03 03:36:35,237,9,540,43.89,11,0,No
TRN-012,Mumbai - Delhi,2026-02-03 03:37:30,199,8,480,41.46,7,0,No
TRN-013,Chicago - St. Louis,2026-02-03 03:55:20,162,6,360,45.0,11,39,No
TRN-017,Tokyo - Osaka,2026-02-03 04:42:06,298,9,540,55.19,9,0,No
